buy,AAPL,2021-05-21T08:00,"Spotify Shares Move Higher; Co Rolling Out Ability To Download Playlists, Albums, Podcasts On Apple Watch"
sell,EXAS,2021-05-21T08:00,"Exact Sciences Highlights Data Being Featured At 2021 Digestive Disease Week May 21-23"
sell,TPVG,2021-05-20T10:00,"A Look Into Financial Services Sector Value Stocks"
sell,AMGN,2021-05-21T07:00,"'Fast Money' Traders Weigh In On IBB And Gilead"
sell,TSLA,2021-05-21T08:00,"Musk Says Russia Is On Tesla's Radar As Potential Production Hub: Report"
sell,NVCN,2021-05-20T16:00,"UPDATE: Neovasc Says Is Currently Reviewing Possibilities For Appeal In Edwards Lifesciences Case"
buyStrong,CUK,2021-05-20T16:00,"Three Carnival Corporation Cruise Line Brands Plan To Resume Cruising in U.S. With Alaska Sailings In July"
sell,FOLD,2021-05-21T07:00,"UBS Initiates Coverage On Amicus Therapeutics with Buy Rating, Announces Price Target of $16"
sell,AA,2021-05-20T10:00,"Alcoa Reports Development Project With Potential To Reduce Carbon Emissions In Alumina Refining Process, Australian Renewable Energy Agency Granted Co.'s Australia Unit $8.8M Grant To Test Use Of Renewable"
buyStrong,AB,2021-05-20T12:00,"AB Sciences Highlights Results From Masitinib Study AB12005 In Pancreatic Cancer; Says Have Been Selected For Presentation At Upcoming ASCO Annual Meeting"
sell,ILMN,2021-05-20T15:00,"Illumina Shares Move Higher, Now Over $400 Level, Following Recent Statement From FTC '...Acting Bureau of Competition Director Maribeth Petrizzi on Bureau's Motion to Dismiss Request for Preliminary Relief in Illumina/GRAIL Case'"
sell,AG,2021-05-20T12:00,"First Majestic Silver Shares Break Above $18 Level, See Spike In Volume; Shares Now Up 4.7% At Session High With Silver; Silver Up ~0.1% For Today"
sell,ARRY,2021-05-20T11:00,"Array Technologies Option Alert: Oct 15 $15 Puts Sweep (4) below Bid!: 5000 @ $2.725 vs 5249 OI; Ref=$15.05"
sell,CAKE,2021-05-20T15:00,"'Halftime Report' Traders Discuss ViacomCBS And Chipotle Upgrades"
sell,SBLK,2021-05-20T14:00,"Jefferies Maintains Buy on Star Bulk Carriers, Raises Price Target to $25"
sell,FEYE,2021-05-20T16:00,"Watching Cybersecurity Stocks Following Tweet From Bloomberg Reporter 'We are about to publish a huge ransomware story.'"
sell,MXIM,2021-05-20T13:00,"Things Are Looking Up For Analog Devices, Bernstein Says"
sell,AAL,2021-05-21T06:00,"American Airlines Says Sabre Had Technical Issue That Impacted Multiple Carriers, Including American; Says Technical Issue Has Been Resolved"
sell,SUN,2021-05-20T10:00,"5 Value Stocks In The Energy Sector"
buyStrong,SUP,2021-05-21T08:00,"Superior Industries Regains Compliance With NYSE Continued Listing Standards"
sell,HUBG,2021-05-20T16:00,"Hub Group Reports Named An EcoConnexions Partner By Canadian Natinoal"
sell,QQQ,2021-05-20T17:00,"DIA Finishes Higher As Apple, Microsoft And Boeing Soar"
sell,JCI,2021-05-20T10:00,"Johnson Controls Reports Expansion Of Partnership With VSBLTY Groupe Technologies To Further Advance Sensormatic Solutions"
sell,ATVI,2021-05-20T13:00,"What's Up With Activision, Netflix And Snap Stock Today?"
sell,RL,2021-05-20T12:00,"Return on Capital Employed Overview: Ralph Lauren"
sell,RCL,2021-05-20T14:00,"'U.S. House of Representatives passes Bill to allow cruise ships to sail to Alaska without stopping in Canada' -Royal Caribbean Blog"
sell,WMS,2021-05-21T08:00,"Barclays Maintains Overweight on Advanced Drainage Systems, Raises Price Target to $130"
sell,BA,2021-05-21T08:00,"Citigroup Maintains Neutral on Boeing, Raises Price Target to $240"
sell,TGT,2021-05-20T12:00,"What 18 Analyst Ratings Have To Say About Target"
buy,ADXS,2021-05-20T11:00,"Advaxis' ADXS-503 Shows Durable Benefit Beyond One Year in Lung Cancer Patients Progressing on Merck's Keytruda"
sell,GOLD,2021-05-20T11:00,"3 Stocks To Consider For The Gold Rally"
sell,NDAQ,2021-05-20T16:00,"Fintech Spotlight: Nasdaq And Benzinga Partner, Express Commitment To Providing Actionable Market Intelligence"
sell,BLUE,2021-05-21T08:00,"bluebird bio Reports Positive CHMP Opinion For SKYSONA Gene Therapy For Patients Less Than 18 Years of Age with Early Cerebral Adrenoleukodystrophy"
sell,F,2021-05-21T00:00,"Here's What Is Going On With Lordstown Motors Stock"
sell,PPG,2021-05-21T08:00,"PPG Says Has Received All Necessary Regulatory Approvals For Acquisition Of Tikkurila"
sell,FLO,2021-05-20T19:00,"Looking into Flowers Foods's Return on Capital Employed"
sell,IBB,2021-05-21T07:00,"'Fast Money' Traders Weigh In On IBB And Gilead"
buy,SVM,2021-05-20T17:00,"Silvercorp Metals Q4 EPS $0.04, Inline, Sales $35.73M Beat $35.00M Estimate"
sell,IKNX,2021-05-20T17:00,"IKONICS Reports Collaboration With Teresa Collins To Accelerate Product Growth & Distribution, No Terms Disclosed"
sell,BP,2021-05-20T12:00,"Analyzing BP's Unusual Options Activity"
buyStrong,R,2021-05-20T10:00,"Ex-Dividend Date Insight: Ryder System"
sell,THG,2021-05-21T07:00,"B of A Securities Initiates Coverage On Hanover Insurance Gr with Buy Rating, Announces Price Target of $166"
sell,T,2021-05-21T08:00,"Is Now The Time To Buy Stock In AT&T, Airbnb Or Cisco?"
sell,PPT,2021-05-20T10:00,"Understanding Putnam Premier Income's Ex-Dividend Date"
sell,BX,2021-05-20T12:00,"Oatly Rallies On Nasdaq Debut: What Investors Need To Know"
sell,ASH,2021-05-20T17:00,"Ashland Global Raises Its Quarterly Dividend From $0.275 To $0.30 Per Share On The Company's Common Stock"
sell,X,2021-05-20T13:00,"8 Materials Stocks With Unusual Options Alerts In Today's Session"
buyStrong,RGLS,2021-05-21T08:00,"Regulus Therapeutics Announces Incremental Update Of Autosomal Dominant Polycystic Kidney Disease (ADPKD) Program"
buy,ROLL,2021-05-21T08:00,"Recap: RBC Bearings Q4 Earnings"
buyStrong,RDN,2021-05-20T10:00,"Ex-Dividend Date Insight: Radian Group"
sell,BANR,2021-05-21T07:00,"Raymond James Maintains Strong Buy on Banner, Raises Price Target to $66"
sell,CB,2021-05-20T12:00,"Chubb Raises Dividend From $0.78 To $0.80"
sell,PFPT,2021-05-21T08:00,"Benzinga Pro's Top 5 Stocks To Watch For Friday, May 21, 2021: PFPT, PIXY, MNMD, WAFU, ZS"
sell,QUIK,2021-05-20T13:00,"Return On Capital Employed Overview: QuickLogic"
buyStrong,NVDA,2021-05-21T09:00,"NVIDIA shares are trading higher after the company announced a 4-for-1 stock split, pending stockholder approval on June 3rd."
sell,ATHM,2021-05-21T08:00,"Autohome shares are trading lower after Macquarie downgraded the stock from Neutral to Underperform and lowered its price target from $109 to $70 per share."
sell,TWTR,2021-05-20T16:00,"'Twitter updates its API to give third-party clients access to 'Likes' data and more' -9to5Mac"
sell,DIN,2021-05-20T17:00,"DIA Finishes Higher As Apple, Microsoft And Boeing Soar"
sell,ICE,2021-05-20T13:00,"ROCE Insights For Intercontinental Exchange"
sell,DIS,2021-05-20T17:00,"'All 3 Disneyland hotels will reopen by July for first time in more than a year' -Orange County Register; Disney Shares Quiet"
buyStrong,CUTR,2021-05-20T13:00,"Cutera shares are trading higher. The company Director Daniel Plants reported the purchase of 664,828 shares at an average price of $29.50 per share in a Form 4 filing on Wednesday."
sell,CS,2021-05-20T12:00,"Oatly Rallies On Nasdaq Debut: What Investors Need To Know"
sell,SRNE,2021-05-20T10:00,"Sorrento Reports Encouraging Data From Sofusa-Administered Enbrel In Rheumatoid Arthritis"
buyStrong,RFIL,2021-05-21T07:00,"RF Industries shares are trading higher after the company announced it received a $7.6 million follow-on order from a tier-1 wireless carrier customer."
sell,INTC,2021-05-21T04:00,"Applied Materials Gives Bullish Forecast For Q3 After Reporting Earnings Beat, With Chip Shortage In Focus"
sell,TM,2021-05-21T05:00,"Apple Supplier TSMC On How Repeat Of Crippling Chip Shortage Can Be Avoided In Future"
sell,FNB,2021-05-21T08:00,"F N B shares are trading higher after Seaport Global initiated coverage on the stock with a Buy rating and a price target of $15 per share."
sell,AHPI,2021-05-20T11:00,"Stocks That Hit 52-Week Lows On Thursday"
sell,AMZN,2021-05-21T06:00,"Amazon's Prime Now Moves to Amazon App"
sell,MSTR,2021-05-20T17:00,"Ideas For Bitcoin Bulls: Taking Advantage Of Fear, Uncertainty, And Doubt By Selling Cash-Secured Puts On These Two Stocks"
sell,ARES,2021-05-20T17:00,"Ares To Acquire Black Creek Group; Terms Not Disclosed"
buyStrong,DE,2021-05-21T08:00,"Deere & Co shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. The company also raised its FY21 sales guidance above analyst estimates."
sell,TU,2021-05-20T10:00,"TELUS Highlights $8M Investment In North Shore Region To Deploy 5G To More Than 10 Communities"
sell,HRL,2021-05-20T16:00,"Why Hormel Foods' Stock Is Trading Higher Today"
buyStrong,ONTX,2021-05-21T08:00,"Onconova Therapeutics Reports Initial Dosing Of First Patient In US Phase 1 Trial On ON123300"
sell,ADI,2021-05-20T16:00,"Why Analog Devices' Stock Is Trading Higher Today"
sell,PGTI,2021-05-20T13:00,"Return On Capital Employed Overview: PGT Innovations"
buy,HWKN,2021-05-20T17:00,"Recap: Hawkins Q4 Earnings"
sell,ADS,2021-05-20T12:00,"Analyst Ratings for Alliance Data Systems"
sell,DX,2021-05-20T10:00,"Analyzing Dynex Cap's Ex-Dividend Date"
sell,SBRA,2021-05-21T08:00,"Sabra Health Care REIT shares are trading higher after BMO Capital upgraded the stock from Market Perform to Outperform and raised its price target from $20 to $21 per share."
sell,JWN,2021-05-20T11:00,"Shares of retail and apparel companies are trading lower as notable names in the sector, including Kohl's and Ralph Lauren, fall despite strong quarterly earnings."
sell,BABA,2021-05-20T16:00,"What's Going On With Nio, Li Auto, Xpeng, Alibaba And Pinduoduo Stock Today?"
sell,CHMG,2021-05-20T18:00,"Chemung Financial Raises Dividend From $0.26 To $0.31"
sell,PBR,2021-05-20T10:00,"5 Value Stocks In The Energy Sector"
sell,DISCA,2021-05-20T12:00,"Harry Potter, Jurassic World and Disney Mobile Game Company Jam City Lands SPAC Deal"
sell,ONCY,2021-05-20T14:00,"Oncolytics Pelareorep/Pembrolizumab Combo Therapy Shows Anti-Cancer Activity In Pancreatic Cancer"
sell,SYY,2021-05-21T08:00,"Barclays Maintains Equal-Weight on Sysco, Raises Price Target to $83"
buy,PCG,2021-05-20T14:00,"PG&E CEO Says Facing 'Extreme And Dangerous' California Fire Season"
sell,DECK,2021-05-21T09:00,"Why Deckers Outdoor's Stock Is Trading Higher Today"
sell,SPLK,2021-05-21T08:00,"Splunk shares are trading higher after UBS upgraded the stock from Sell to Neutral'."
sell,FB,2021-05-21T02:00,"Snapchat Confirms AR Glasses Launch, To Let Users Tip Creators: All You Need To Know"
sell,NLSN,2021-05-21T08:00,"Nielsen shares are trading lower after Citigroup downgraded the stock from Buy to Neutral."
buy,OAS,2021-05-20T17:00,"Oasis Petroleum Updates 2021 Guidance"
buyStrong,FF,2021-05-20T14:00,"FutureFuel shares are trading lower. Not seeing company-specific news from the session."
sell,CSCO,2021-05-21T08:00,"Is Now The Time To Buy Stock In AT&T, Airbnb Or Cisco?"
sell,FOSL,2021-05-20T11:00,"Shares of retail and apparel companies are trading lower as notable names in the sector, including Kohl's and Ralph Lauren, fall despite strong quarterly earnings."
sell,VZ,2021-05-20T10:00,"Verizon Says 5G Live In 60+ Stadiums And Arenas; Says Named 5G Partner For 15 NBA Teams"
sell,BRK.A,2021-05-20T17:00,"JPMorgan Chase Launches Morgan Health: What Investors Need To Know"
buyStrong,FL,2021-05-21T08:00,"Foot Locker shares are trading higher after the company reported better-than-expected Q1 EPS and sales results."
buyStrong,ENR,2021-05-20T10:00,"Ex-Dividend Date Insight: Energizer Holdings"
buy,ENS,2021-05-20T17:00,"EnerSys Q4 EPS $1.30 Beats $1.29 Estimate"
sell,UNH,2021-05-21T09:00,"Truist Securities Maintains Buy on UnitedHealth Group, Raises Price Target to $480"
sell,MSFT,2021-05-21T02:00,"Microsoft Refuses To Hold Back As Apple Accuses It Of Using Epic As 'Staking Horse' In Legal Battle"
buyStrong,NTES,2021-05-20T12:00,"NetEase shares are trading higher on continued strength after the company on Tuesday reported better-than-expected Q1 EPS and sales results."
sell,DLX,2021-05-20T10:00,"Analyzing Deluxe's Ex-Dividend Date"
sell,LLY,2021-05-21T09:00,"Eli Lilly Reports Positive CHMP Opinion For Co.'s Candidate For Treatment Of Adults With Heart Failure Wit Reduced Ejection Fraction"
sell,PRLB,2021-05-21T09:00,"Craig-Hallum Maintains Hold on Proto Labs, Lowers Price Target to $90"
sell,GSK,2021-05-21T08:00,"EMA Says Concluded Sotrovimab Can Be Used To Treat COVID-19 In Adults And Adolescents Not Requiring Supplemental Oxygen Therapy And Risk Of Progressing To Severe COVID-19; Says A Rolling Review Of Sotrovimab, Which Started On 7 May, Is Ongoing"
buyStrong,NKTR,2021-05-20T11:00,"UPDATE: Nektar Highlights 'NKTR-358 Elicited Sustained and Preferential Proliferation of Regulatory T Cells Without Corresponding Effects on T Effector Cells in Preclinical Models'"
sell,MARA,2021-05-20T14:00,"UPDATE: Fed Says Any Central Bank Digital Currency Should Be Complement To, Not Replacement Of, Current Digital Forms Of Dollar Like Bank Deposits"
sell,GOOG,2021-05-21T07:00,"Google Ends Autonomy Talks With Its DeepMind AI Unit"
sell,XOMA,2021-05-21T08:00,"XOMA Licensees To Present Clinical Data At 2021 ASCO Annual Meeting"
sell,ALLY,2021-05-20T14:00,"Fintech Spotlight: MX Onboards Lexi Hall To Empower Regulatory Innovation In Fintech"
sell,BLIN,2021-05-20T10:00,"Bridgeline Digital Reports 'A Health-Centric' Company Has Chosen Bridgeline's Celebros To Improve Digital Experiences For 2 Of Its Websites, No Terms Disclosed"
sell,MOS,2021-05-20T13:00,"8 Materials Stocks With Unusual Options Alerts In Today's Session"
buyStrong,VBIV,2021-05-21T08:00,"VBI Vaccines Announces Agreement To Draw Down $12M Second Tranche Of Debt Financing With K2 HealthVentures"
buy,HOLX,2021-05-20T15:00,"Hologic Shares Quiet Amid Report Co. Received FDA Approval For Its ThinPrep Genesis Processor"
sell,CMCSA,2021-05-20T17:00,"NHL Playoffs: How To Watch, Betting Lines And Predictions For May 20"
sell,BBVA,2021-05-20T14:00,"Fintech Spotlight: MX Onboards Lexi Hall To Empower Regulatory Innovation In Fintech"
sell,PEP,2021-05-21T07:00,"Cramer Weighs In On Hyliion, Paysafe And More"
buyStrong,AXR,2021-05-20T16:00,"Amrep 13D Filing From James Dahl Shows New 7.1% Stake In Co."
